k,BubbleSort partiel,BuildHeap / Remove,HeapSort
903,7423311,18283,124199
904,7430245,18296,124199
905,7437178,18309,124199
906,7444109,18321,124199
907,7451040,18333,124199
908,7457966,18345,124199
909,7464890,18357,124199
910,7471813,18369,124199
911,7478736,18381,124199
912,7485657,18393,124199
913,7492576,18405,124199
914,7499491,18417,124199
915,7506401,18429,124199
916,7513306,18441,124199
917,7520204,18453,124199
918,7527097,18465,124199
919,7533988,18477,124199
920,7540876,18489,124199
921,7547763,18501,124199
922,7554648,18513,124199
923,7561531,18524,124199
924,7568412,18536,124199
925,7575291,18547,124199
926,7582168,18559,124199
927,7589043,18572,124199
928,7595917,18584,124199
929,7602788,18596,124199
930,7609655,18608,124199
931,7616522,18621,124199
932,7623389,18633,124199
933,7630254,18646,124199
934,7637119,18658,124199
935,7643983,18671,124199
936,7650845,18683,124199
937,7657705,18694,124199
938,7664563,18706,124199
939,7671420,18719,124199
940,7678276,18731,124199
941,7685129,18743,124199
942,7691976,18755,124199
943,7698819,18768,124199
944,7705661,18779,124199
945,7712501,18791,124199
946,7719340,18804,124199
947,7726177,18817,124199
948,7733014,18829,124199
949,7739850,18840,124199
950,7746686,18851,124199
951,7753521,18863,124199
952,7760354,18875,124199
953,7767185,18887,124199
954,7774015,18898,124199
955,7780844,18910,124199
956,7787672,18922,124199
957,7794496,18934,124199
958,7801315,18947,124199
959,7808131,18959,124199
960,7814946,18971,124199
961,7821757,18983,124199
962,7828565,18996,124199
963,7835373,19008,124199
964,7842176,19020,124199
965,7848974,19031,124199
966,7855770,19043,124199
967,7862564,19055,124199
968,7869356,19066,124199
969,7876144,19078,124199
970,7882930,19089,124199
971,7889715,19102,124199
972,7896497,19114,124199
973,7903275,19125,124199
974,7910053,19137,124199
975,7916829,19149,124199
976,7923600,19161,124199
977,7930371,19173,124199
978,7937141,19186,124199
979,7943908,19198,124199
980,7950674,19210,124199
981,7957438,19222,124199
982,7964194,19234,124199
983,7970949,19246,124199
984,7977701,19258,124199
985,7984448,19270,124199
986,7991192,19282,124199
987,7997932,19294,124199
988,8004668,19306,124199
989,8011400,19318,124199
990,8018131,19330,124199
991,8024861,19342,124199
992,8031590,19355,124199
993,8038316,19367,124199
994,8045041,19380,124199
995,8051764,19392,124199
996,8058485,19404,124199
997,8065204,19416,124199
998,8071920,19429,124199
999,8078632,19441,124199
1000,8085339,19453,124199
1001,8092043,19466,124199
1002,8098745,19478,124199
1003,8105446,19490,124199
1004,8112142,19502,124199
1005,8118837,19514,124199
